Company,Type,Address Line 1,City,State,Zip,Phone,Email,Contact Name,CRM Stage,Standard Labor Rate,Warranty Labor Rate,Website,High Priority,Notes
Rony's Car Pros,REPAIR SHOP,4232 Sepulveda Blvd,Culver City,,,(310) 559-6463,rachel@ronyscarpros.com,Rony Herrera,In Review,,,,,"5/8 works on teslas & EV's, Rachel asked for info will pass along to Rony on Monday.  5/15 Rony is looking over info & agreement; 8/18 SA took my # will have Rony CB"
Romita Auto Service,REPAIR SHOP,4909 E Dakota Ave,Fresno,CA,93727,(559) 485-5675,romita-auto@hotmail.com;  romitaserviceas@gmail.com,Aby - MGR; Nestor-  owner,Contacted,220,,,,"10/1 Christian SA provided Ops email to send follow up. 10/3 follow up email sent;  10/28 Left msg w/ Jakie askin Aby to call me back; 2/12 Aby provided an alternet email to send info to.  4/13 connected w/ Nestor owner, he's interested"
RPM Auto Center,REPAIR SHOP,110 East Longden Ave,Irwindale,,,(626) 436-3880,manager@rpmautocenter.com,Manager Mike. Teddy 11/20 send info and follow up only do tire rotations and brake fluid but maybe?,Contacted,,,,Yes,
S2 Dynamics,REPAIR SHOP,12058 Parklawn Dr,Rockville,MD,20852,(301) 881-1283,info@s2dynamics.com,Patrick,Contacted,168,,,,"4/7 Lary provided email & LR, asked me to email info to Patrick"
Sacto Auto Repair,REPAIR SHOP,11009 Hole Ave,Riverside,CA,92505,(951) 689-6977,,,Contacted,,,,,10/20 LVM
Sal Auto & Body Repair,REPAIR SHOP,701 Kings Row #55E,San Jose,CA,95112,(408) 646-7619,,,Contacted,,,,,8/19 LVM
Sam Auto Hybrid,REPAIR SHOP,3029 Enterprise St Ste C,Costa Mesa,CA,92626,(310) 228-0105,hello@samautohybrid.com,Kourosh-owner,Contacted,,,,,11/6 LVM on 310#; VM on 714# is full; Angel answered the 949#; said the 310# is Kourosh  direct #
Schmidty's Garage,REPAIR SHOP,19300 Beach Blvd,Huntington Beach,,92648,(714) 593-4094,schmidtysgarage@msn.com,Shane Schmidt - president,Contacted,,,https://yorbalindaautoservice.com/,,12/20 - called.  Referal from felipe - our mobile tech who stopped in to the shop. Spoke with Shane.  Very crusty but seemed to warm up. Send email wiht info; 5/13 took # down will pass along info to Shane.
schneiderautohaus,REPAIR SHOP,2703 De La Vina Street,Santa Barbara,,,(805) 617-0606,Paulahinck@schneiderautohaus.com,Henry & Paula Hinck-Owners; reza,Contacted,,,,,6/9 Paula is out of the contry for 3 weeks-check back 1st week of July
Schneider's Automotive Repair,REPAIR SHOP,607 E Los Angeles Ave,Simi Valley,CA,93065,(805) 581-2340,,Ken & Paula Fay; JoeService MGR; Danny Shop Foreman,Contacted,,,,,11/13 Joe will have Danny (foreman) call me back
Scotty's Auto Repair - Bakersfield,REPAIR SHOP,6607 Rosedale Hwy,Bakersfield,CA,93308,(661) 477-3985,,,Contacted,,,,,10/29 left VM
Seiko's Auto Service,REPAIR SHOP,804 E Huntington Dr,Monrovia,CA,91016,(626) 239-1793,Seikosautofront@gmail.com,Seiko Nagata,Contacted,,,,,11/10 SA provided owners email; Seiko isn't in regularly
Sergio's Auto Repair,REPAIR SHOP,914 W Wooley Rd,Oxnard,,93030,(805) 483-7901,eddie_vah@yahoo.com,Sal,Contacted,,,https://candmautomotivesanbruno.com/,,6/9 sent info to Eddie-will pass along to Sal-owner
Sigma Auto Repair,REPAIR SHOP,18471 Repair Ln,Huntington Beach,CA,92648,(714) 875-5005,sigmaautorepair@usa.com,Jim,Contacted,,,https://collisionbodyspecialist.com/,,Does Hybrid battery work; 5/8 asked for a CB Fri. 5/13 Jim wants a call 5/14 between 8am -9am; 5/14 in a meeting asked for a CB
Signature Performance Tire Pros,REPAIR SHOP,2177 Harbor Boulevard,Costa Mesa,,92627,(714) 850-0060,daniel@signatureptw.com,Daniel stewart,Contacted,,,https://hybridbatteryrepairsandiego.com/contact.html,,5/8 sent info to Daniel owner.
Sky's Auto Collision & Auto Repair,REPAIR SHOP,1914 County rd 547,Davenport,FL,33837,(863) 438-2015,skysautocollision@gmail.com,Jeffery,Contacted,,,,,"1/20 owner is in-out of shop, advisor asked for an email & took my # down to have Jeffery call me back"
SeeDee Oil Change & Auto Service,REPAIR SHOP,5490 Dewey Dr,Fair Oaks,CA,95628,(916) 965-8017,,,Contacted,,,,,"10/8 full auto repair shop, need to follow up"
South Seneca Car Care,REPAIR SHOP,3118 South Seneca St,Wichita,KS,67217,(316) 522-1641,southsenecacarcare23@gmail.com,Mitch,Contacted,125,,,,12/9 Nick provided email address to pass along to Mitch
Star Tech Auto Repair,REPAIR SHOP,490 E COTA,Santa Barbara,CA,93101,(805) 687-6500,sbstartech@gmail.com,kevin,In Review,150,150,,,"11/17 Kevin's interested, asked for more details; 11/26 will not be able to make it to training in Irvine.. prefers Online training."
Stewart's Body Shop,,12540 San Pablo Ave,Richmond,CA,94805,(510) 235-3515,,,Contacted,,,,,2/4 only works on mechanical when it's part of a collision repair
Studio Auto Body,BODYSHOP,1760 Mill St #1,Wailuku,HI,96793,(808) 856-0511,studioautobodyinc@gmail.com,Jeremiah Becker,Contacted,,,,,"9/24 contacted shop, waiting on Jeremiah's CB"
SULLYS AUTO SHOP,REPAIR SHOP,17152 Palmdale Ln,Huntington Beach,CA,92647,(714) 841-1245,sullysautorepair@verizon.net,"Robert ""Sully"" Sulivan",In Review,,,,,"5/14 sent contract; 5/30 asked for repair plan examples, will reach out with additional questions; asked Robert if hes ready to movefwrd.; checked in with Robert to see if hes ready to movefrwrd"
Sunnyside Auto Repair,REPAIR SHOP,5977 E Clinton Ave,Fresno,CA,93727,(559) 292-1986,jeff@sunnysideautorepair.com,Brandy,In Review,175,,,,"10/1 Brandy owner is interested, asked for more info & contract; 10/21 left msg asking for a CB; 10/24 Left MSG asking for a CB; 10/28 left msg w/ advisor asking for Brandy to call me back."
Super Auto Repair,REPAIR SHOP,5655 Van Buren Boulevard # A,Riverside,CA,92503,(951) 977-9733,superautorepair66@gmail.com,Enrique,Contacted,150,,,,10/20 LVM;  10/27 left MGS w/ Cruz asking her to have Enrique call me back.
Super Service of Aliso Viejo,REPAIR SHOP,27802 Aliso Creek Rd,Aliso Viejo,,,(949) 831-1525,bob@superserviceav.com,Bob Conwall,Contacted,,,,,"5/13 sent info, they have 4 shop,"
Space Coast EV Automotive LLC,REPAIR SHOP,241 Thor Ave SE STE 1,Palm Bay,FL,32909,(321) 261-0070,info@space-ev.com,Stephan & Stephanie aweh,Contacted,220,190,,,"1/7 performs SW updates, works on Porche, Tesla, Rivian, Remac;  owns a company/ RND shop in germany too."
Tech Automotive Repair LLC,REPAIR SHOP,7608 Grier Rd,Charlotte,NC,28213,(704) 526-0300,,,Contacted,,,,,12/22 VM is not setup yet. CB 12/23
Ten-Four Auto Repair Center,REPAIR SHOP,12722 Philadelphia St,Whittier,,,(562) 945-1240,customers@tenfourauto.com,johan,Contacted,,,,,5/13 sent info
Tesla Service.LA,BODYSHOP,5556 Corporate AVe,Cypress,,90630,(657) 222-4020,support@tsk.club,Alex,Contacted,,,,,5/21 asked for info.
Teslamania / Electric City,REPAIR SHOP,775 E San Bernandino Rd,Covina,CA,91030,(714) 735-4537,teslamaniagarage@gmail.com,Cesar Lauro,Contacted,220,180,,,"8/14 Cesar is interested, asked for contract. shop is moving from Covina to Garden Grove  new location is going to be ready in 3-4 weeks"
The Auto Experts Tire & Service,REPAIR SHOP,505 30th St,Sacramento,CA,95816,,scott@sacramentoautoexperts.com,Scott,Contacted,220,,,,"10/20 call scheduled; 10/22 Scotts new to the company, 6th day on the job."
The Auto Experts Tire & Service,REPAIR SHOP,6101 Folsom Blvd,Sacramento,CA,95819,,scott@sacramentoautoexperts.com,Scott,Contacted,220,,,,10/20 call scheduled
The Auto Trends,REPAIR SHOP,431 Battleground Ave,Greensboro,NC,27401,(336) 544-7276,,,Contacted,,,,,"12/23 called shop, advisor provided John's # the owner.  3/30 LVM for John.; 3/31 sent John a txtmsg"
The Body,BODYSHOP,98 Yeargan Rd,Garner,NC,27529,(919) 803-3287,,,Contacted,,,,,12/22 LVM
The EV Reviver,REPAIR SHOP,2015 N Tustin Ave B,Santa Ana,CA,92705,(949) 749-5596,leon@evreviver.com,Leon,Contacted,250,,,,"11/5 has heard of us, we reached out before I joined, went over our new OE partnership asked about how quickly we issued payouts, and then asked me to email info"
The Garage,REPAIR SHOP,340 10th St,San Francisco,,,(415) 864-0111,kyle.garagesf@gmail.com;  Danny Chan,spoke with Ray.  not sold but willing to take email to Kyle ( service mgr),Contacted,,,,,spoke with Ray.  not sold but willing to take email to Kyle ( service mgr)
The Garage - Burlingame,REPAIR SHOP,1394 Rollins Rd,Burlingame,,,(650) 389-7488,alyssa.thegarage@gmail.com,danny Chan- Owner;  Alyssa -Advisor,Contacted,,,,,
The Garage LLC,REPAIR SHOP,610 N Maize Rd,Wichita,KS,67212,(316) 440-9380,thegaragemaize@gmail.com,Antonio - advisor; John - owner/master tech,Contacted,,,,,"1/9 Antonio wasn't sure if owner would be interested, sent info will follow up in a week or two"
Tip Top Hybrid,REPAIR SHOP,1894 W 9th St,Upland,CA,91786,(909) 238-7028,TTACSTIPTOP@yahoo.com,,Contacted,,,,,11/10 LVM
TL Motors,REPAIR SHOP,132 E Front St,Covina,,91723,(626) 722-5743,TLmotorsparts@gmail.com; TLmotorsinc@gmail.com - Owners email,Gaby Ama - service advisor manager; Carson - Owner,Contacted,,,,,"12/12 Spoke with Gaby - very intersted. Send email with details and also agreement in a separate email. 12/19 - gaby forwarded email to owners. Will let me know their feedback. 4/17/25called asked for Gaby, was asked by service advisor to resend email; 5/13 sent info to owners email."
Tokyo Automotive of Orange Coast,REPAIR SHOP,1281 Logan Ave,Costa Mesa,,,(714) 515-6979,,,Contacted,,,,,"5/13 shop closes Sat, Sun, & Mon.  Tue-Fri shop closes  for lunch between 12-pm  2 locations"
Tom's Automotive Service Center,REPAIR SHOP,4401 East Anaheim St,Long Beach,,,(562) 424-0404,tom@tomstire.com,Tom,Contacted,,,,,"5/13 owner was gone for the day, sent email ."
Tony's Collision Center,REPAIR SHOP,104 11th St,San Francisco,,,(415) 431-4606,tonyscollisoncenterSF@gmail.com,Spoke with Marco,Contacted,,,,,
Tonys Automotive,REPAIR SHOP,23253 Madero Ste A112,Mission Viejo,,,(949) 305-1425,mark@tonysautomotive.com,Mark,Contacted,,,,,5/9 LVM/sent info
Toscalito Tire & Service,REPAIR SHOP,5800 Paradise Dr,Corte Madera,,,(415) 924-8810,paul@toscalito.com,Dan & Paul- Managers,Contacted,,,,,"Dan mgr not interested, need to get ahold of owner"
Toscalito Tire & Service,REPAIR SHOP,101 A Rblar Dr,Novato,,,(415) 324-4476,l.connor@toscalito.com; 2nd email- mgr3444@sun.auto,Leigh Connor-MGR,Contacted,,,,,Eric - MGR
Toscalito Tire & Service,REPAIR SHOP,2342 Lombar St,San Francisco,,,(415) 634-0981,l.winfrey@toscalito.com;,Loren Winfrey-MGR,Contacted,,,,,jamie MGR; Sam Advisor
Toscalito Tire & Service,REPAIR SHOP,668 Irwin St,San Rafael,,,(415) 688-2789,e.remas@toscalito.com,Eli Remas - MGR,Contacted,,,,,Eli asked for info
Triad Select Auto,REPAIR SHOP,1071 Boulder Rd,Greensboro,NC,27409,(336) 907-7012,triadselectauto@gmail.com,clayton,Contacted,160,,,,4/8  SA suggest  emailing info & providing callback #
Trinity Auto Service,REPAIR SHOP,3415 S Broadway,Wichita,KS,67216,(316) 529-0690,,,Lead,,,,,"12/9  not set up for EV repairs, mentioned two shops that might be able to help. Central Auto Electric & Auto Smart."
TuneRite Complete Auto Repair and Service,REPAIR SHOP,"1990 Nw 1st Ave, Boca Raton, Fl 33432",Boca Raton,,33432,(561) 269-8284,bocaraton@tuneriteauto.com,Julio,Contacted,223,,,,1/14 Service advisor asked me to email info so owner can review.  two locations...  labor rate might be too high need to discuss w/ owner.
TuneRite Complete Auto Repair and Service,REPAIR SHOP,5460 Reese Rd,Davie,FL,33314,(954) 513-4756,davie@tuneriteauto.com,Julio,Contacted,,,,,"1/14 2nd location, sent email too"
Tung Auto Repair,REPAIR SHOP,2345 Senter Rd,,,95112,(408) 993-9966,tungauto2021@gmail.com,tung,Contacted,,,,,6/5 SA asked me to send info to owner
United Auto Repair and Body,REPAIR SHOP,931 McHenry Ave,Modesto,CA,95350,(209) 900-2222,,,Lead,,,,,8/20 Left msg w/ recepionist asking mgr to CB
UNITED HYBRID & EV Service,REPAIR SHOP,6971 Bandini Blvd,Commerce,CA,90040,(949) 386-3666,unitedhybrid50@gmail.com,Bob,Contacted,180,,,,5/12 Bob assked for info to review with owner; Bob hasn't reviewed will reach out soon; 5/22 LVM; 11/5  Bob will discuss with partners and get back to me.
Unplugged Performance,SPECIALIST,"3523 Jack Northrop Ave, Hawthorne CA",Hawthorne,,90250,(213) 493-6323,avi@unpluggedperformance.com,Avi Fischer,Contacted,,,,,Filled out partner form on our website.. 3/6/25. Phoned and emailed;  5/7 resent info email
Unplugged Performance - Fremont,SPECIALIST,46701 Fremont Blvd,Fremont,CA,94538,(510) 573-4907,,Derek Letourneau,Contacted,,,,,8/7 connected by Nate lvm. 8/8 LVM waiting on a CB.
Vacaville Autopro,REPAIR SHOP,807 Davis St Suite G,Vacaville,,95687,(707) 689-5849,visharma1005@gmail.com,Vishan,Contacted,,,,,"6/5 owner -Vishan asked for info, interested"
V.E.S.T,REPAIR SHOP,2907 Humboldt St,Los Angeles,CA,90031,(818) 239-0955,infovestfix@gmail.com,Aidar Gadiev,In Review,150,150,,,"11/4 VM not set up; need to try back;.. 11/5 Aidar is very interested, asked for more info will look over anc CB. 11/7 shop replied to Email with additional questions before signing up. 11/7 Aidar called asked for contract to review. 11/14 followed up and asked for ETA on signed agreement. 11/21 resent contract, informed Aidar that I need it signed and returned no later than Mon 11/24 if he wants to get on the VF program. 11/26 no response/ no movement in airtable. not going to training."
Vertical Automotive,REPAIR SHOP,707 NE 11th St,Fort Lauderdale,FL,33304,(954) 565-1518,contact@verticalautomotive.com;,Eugene,Contacted,,,,,"1/13 Reece, will let owner & MGR know; asked me to email info aswell they will reachout.  shop is doing EV services already.; 4/2 shop asked me to resend Eugene an email for him to review."
Werkshop,REPAIR SHOP,1317 N Carolan Ave,Burlingame,CA,94010,(650) 588-8384,info@tunedby.ws,Andy,Contacted,,,,,"8/14 Service advisor, asked for info emailed, will have Andy Review."
Westlake Independent Automotive,REPAIR SHOP,31290 La Baya Dr Unit #1,Westlake Village,CA,91362,(818) 889-0377,bnation@westlakeindependent.com,Bruce,Contacted,218.5,,,,"8/13 – Shop interested; busy, requested info via email, will review & follow up. Wants to earn on parts for all ROs."
West Auto Center,REPAIR SHOP,7539 Balboa Blvd,Van Nuys,,,(818) 989-4811,contact@westautocenter.com,Mike - Owner. Spoke with Darren Service Advisor,Contacted,,,,,
West Automotive Group Escondido,REPAIR SHOP,2200 Auto Park Way Suite A,Escondido,,92029,(760) 614-8856,brian@westautomotivegroup.com,Brian,Contacted,,,,,"5/9 sent info to owner, 5 shops in SD; 5/13  sent follow up email."
West Automotive Group Oceanside,REPAIR SHOP,,,,,,,,Lead,,,,,
Wheat State Automotive Repair,REPAIR SHOP,5522 East Harry Street,Wichita,KS,67218,(316) 425-8705,,,Contacted,,,,,"12/12 small shop 2 two post lifts, 1 drive on,"
Woody's Automotive,REPAIR SHOP,4645 E Central Ave,Wichita,KS,67208,(316) 260-2880,,,Contacted,,,,,12/26 LVM
Woody's Automotive,REPAIR SHOP,3250 W 13th St N,Wichita,KS,67203,(316) 838-8011,,,Contacted,,,,,12/26 LVM
Yorba Linda Auto Service,REPAIR SHOP,801 South Lakeview Ave. Ste G,Placentia,CA,92870,(714) 970-8774,dan@yorbalindaautoservice.com,Dan Guy,In Review,,,,,"7/16 not sure on teslas, interested in VF"
